"tract20l","age0_4_2010","age5_9_2010","age10_14_2010","age15_19_2010","age20_24_2010","age25_29_2010","age30_34_2010","age35_39_2010","age40_44_2010","age45_49_2010","age50_54_2010","age55_59_2010","age60_64_2010","age65_69_2010","age70_74_2010","age75_79_2010","age80_84_2010","age85_up_2010","age0_4_2020","age5_9_2020","age10_14_2020","age15_19_2020","age20_24_2020","age25_29_2020","age30_34_2020","age35_39_2020","age40_44_2020","age45_49_2020","age50_54_2020","age55_59_2020","age60_64_2020","age65_69_2020","age70_74_2020","age75_79_2020","age80_84_2020","age85_up_2020"
"53001950100",133.8932,155.828,153.7504,103.3766,113.1944,111.1799,108.1145,134.4695,176.5097,138.684,207.778,195.6575,198.4598,137.0668,120.0082,91.6158,83.0372,84.1234,156.0697,147.6483,190.1265,131.7522,130.4702,156.4661,152.5547,141.8747,139.5169,135.7931,129.3829,185.0439,210.3447,191.534,157.9082,100.3307,60.5273,61.6658
"53001950200",102.0312,134.2579,132.7038,81.6092,84.4838,74.1774,80.5721,101.0441,117.7163,115.2858,149.5252,154.9821,104.7075,117.0471,71.8712,50.7705,36.1313,28.9494,126.1316,118.8862,114.8582,82.8026,96.8516,114.8538,91.6661,102.8584,82.13,152.704,103.7791,117.7041,135.033,134.4816,85.7521,71.0911,47.4356,24.9909
"53001950301",157.8157,176.1578,152.995,132.4599,94.2882,105.4972,122.3307,107.2335,114.4425,169.3505,108.6231,94.2983,60.7164,50.8691,34.1063,32.0511,10.8799,12.7358,136.2175,168.7204,142.0571,125.2896,102.7465,105.6994,101.3784,127.8649,105.5831,166.6327,80.3866,90.9546,100.2625,82.0497,43.9235,41.714,26.0388,11.4806
"53001950302",269.7066,211.6923,237.0607,184.3376,168.1684,159.9358,149.8621,117.4724,111.3092,238.5122,105.4603,80.5749,79.5402,57.6945,40.4873,18.7438,19.2543,9.0646,231.4382,340.015,274.2762,178.1713,178.4744,156.4455,157.9382,158.1644,115.8376,259.2386,141.6392,94.4756,97.6039,85.5027,60.012,33.9692,21.7315,14.0664
"53001950303",357.7407,298.6061,270.9139,184.749,181.8866,218.8177,212.9238,178.0405,156.1552,349.2562,136.8559,109.6223,83.4834,79.7982,39.1594,25.3226,24.9338,19.9938,279.9843,346.4281,281.3813,178.8482,195.4805,217.1679,222.7548,201.9549,166.6338,355.596,152.832,139.2829,99.8205,96.7235,51.073,46.1299,22.182,12.7264
"53001950400",323.9144,256.4363,277.5377,215.0679,177.1727,170.1526,164.9157,164.7917,173.5101,273.4055,132.596,129.2299,77.0642,57.6964,64.192,70.7368,55.2162,83.1201,279.2094,243.9998,262.2356,204.9866,232.4355,181.9919,173.651,168.8026,128.8438,279.911,141.5321,117.5807,111.5375,104.6966,71.0651,48.9091,33.2248,74.3871
"53001950500",669.69,413.9611,423.9488,359.2894,422.7181,416.1551,305.239,251.9428,187.4128,526.3775,162.2781,192.7632,132.144,98.9368,79.2543,46.8333,37.6044,26.1013,627.397,654.7948,527.5018,435.4755,492.8895,457.7142,326.3555,376.7915,297.7071,632.6077,273.6974,209.1903,190.6276,168.2216,124.4105,73.957,47.9229,28.7383
"53003960100",218.3035,305.6348,300.6558,130.7417,150.8641,161.7296,223.6363,289.3334,325.175,276.8361,358.2772,381.2726,385.9127,279.0452,244.7223,144.9439,66.9393,61.9675,177.2334,300.7109,289.8623,180.2628,170.1597,155.2058,212.6232,206.162,247.8561,208.2066,299.371,337.6742,406.1554,396.6292,332.5991,239.9215,140.117,91.2496
"53003960200",203.5788,251.8059,269.8243,194.2836,181.8893,211.2915,218.0766,231.2018,321.9853,223.13,371.3791,337.0495,354.6082,343.3266,282.0086,214.9266,143.8525,88.8387,173.3863,257.6689,285.3007,194.4503,215.1676,174.5558,239.9762,268.5701,253.2239,252.4512,264.1814,367.2072,409.0605,383.0531,383.6528,302.2046,205.0494,151.8399
"53003960300",245.2243,216.0415,226.4216,296.1937,291.6857,272.4623,206.3374,207.2083,236.2531,236.0319,261.0478,219.3615,196.9698,167.2386,112.0982,99.1227,78.1865,54.1129,225.6407,248.9493,205.7005,244.1666,309.8254,254.4497,263.3319,193.0473,195.0302,256.4862,218.077,268.4934,231.0435,165.1972,122.167,93.2428,57.5017,61.6495
