"tract20l","AIAN2010","ASIAN2010","Black2010","Two2010","White2010","NHOPI2010","AIAN2020","ASIAN2020","Black2020","NHOPI2020","Two2020","White2020"
"53001950100",24.854,10.9377,1.9216,34.1711,2374.8625,0,28.5813,14.5493,8.5714,0.2338,245.4831,2281.5911
"53001950200",9.9159,13.1701,26.6291,36.0016,1650.1534,1.9958,24.0103,8.9421,6.6473,0.2502,124.0867,1640.0735
"53001950301",83.3388,6.4679,0,17.2392,1629.8052,0,90.2825,17.8581,10.0346,2.6909,236.4463,1401.6876
"53001950302",136.6949,11.408,25.0178,35.8782,2047.8444,2.0337,193.6413,20.4702,23.0398,2.1836,424.7349,1934.9302
"53001950303",165.0439,10.8901,80.6937,23.6355,2645.0246,2.9711,202.9991,18.0437,20.7261,0.924,548.8522,2275.455
"53001950400",113.9979,39.2516,19.1965,25.7002,2668.6098,0,120.733,50.2827,18.0453,4.7188,413.6293,2251.5908
"53001950500",212.003,96.8676,53.5056,35.3864,4354.8874,0,260.7426,83.8529,74.9339,4.9985,1141.7388,4379.7334
"53003960100",46.3853,18.0721,12.3394,67.507,4146.9129,14.7743,48.7279,37.0454,3.772,12.9224,246.1093,4043.4232
"53003960200",34.6808,28.7455,20.1621,60.4721,4292.3237,6.6728,29.5701,59.1943,25.3454,5.7058,250.7485,4410.436
"53003960300",95.6668,23.0003,34.4937,82.7841,3384.5433,1.5098,74.7483,39.737,33.3104,4.1188,231.2679,3230.8176
"53003960400",20.8971,12.0016,9.5627,72.6681,2046.868,2.9985,41.0377,19.7916,18.6898,8.5093,164.9226,2019.049
"53003960500",67.4264,30.3856,15.6451,117.6572,3344.8516,6.0331,62.9848,43.3768,30.7847,5.0266,262.0468,3071.7803
"53003960600",44.9441,12.7951,2.7972,61.9122,3375.5329,7.0115,56.9389,21.8583,10.1045,3.7132,209.9739,3447.4113
"53005010100",15.3106,294.2203,61.9783,93.9912,3982.6605,0.409,21.79,320.4821,56.7738,9.1826,341.7084,3934.0632
"53005010201",54.7793,346.1842,71.8952,89.6411,3731.5095,3.3588,49.7437,373.3033,109.547,29.348,513.5389,5127.5191
"53005010203",38.4371,170.5948,47.3479,74.8395,2821.5313,1.6523,37.1915,297.4988,70.3512,2.0852,395.168,3172.7053
"53005010204",29.2945,174.966,74.9049,89.8007,2531.4551,4.1318,38.1049,170.3259,108.6137,10.5026,438.0803,2470.3726
"53005010300",58.1019,159.2904,87.6307,134.6676,4559.3643,11.5811,58.4071,116.4787,90.6812,12.3603,620.089,4744.9837
"53005010400",65.0079,59.3244,55.9006,125.4324,3304.1306,7.664,53.9419,70.5126,41.8245,19.3417,431.9899,3113.3893
"53005010500",37.9302,68.7952,31.5861,81.5439,2797.5705,4.9591,37.7502,62.8772,54.9092,12.9212,429.1599,2556.3823
"53005010600",59.7083,101.7743,77.27,137.386,3913.6712,6.7401,69.246,158.9252,81.8424,8.321,529.3474,3703.318
"53005010701",19.8398,41.7295,25.5091,35.7127,1860.847,2.613,26.1504,36.5767,8.8608,1.1726,159.4477,1951.7919
"53005010703",49.8344,36.4384,19.8514,95.727,2803.6933,8.3735,45.9461,37.1789,32.3378,7.9693,428.0614,3145.5066
"53005010705",58.5773,87.3112,47.5545,119.0959,4988.8934,14.2426,38.0411,108.6398,44.9395,5.1789,461.7378,4876.4629
"53005010707",30.7733,64.7969,17.7245,89.5238,2285.4992,0.9953,37.5807,93.1296,27.9002,3.1183,381.0122,3144.259
"53005010708",17.7325,55.8671,19.2878,54.8691,2235.9882,0.0103,37.6627,105.5772,54.5682,7.2605,455.5488,3871.3826
"53005010807",12.7584,15.9462,4.002,12.8678,1015.6394,0.7472,14.252,34.5583,8.5674,2.8877,152.0268,1345.7078
"53005010809",57.4358,238.5136,101.0039,169.6573,5435.229,13.9316,93.7047,274.0545,127.5338,21.8659,770.8377,5504.0034
"53005010810",29.5526,151.1194,43.1578,112.763,4207.2787,4.7035,28.9547,239.9789,55.9338,19.2285,469.6352,4616.2689
"53005010811",19.8768,124.0342,22.6616,67.5044,2867.2016,5.0904,32.5754,295.9551,45.2163,14.9359,447.5209,4693.7963
"53005010814",21.2223,42.493,16.2416,71.2971,2695.4037,3.7092,27.114,98.4593,39.3188,1.9547,451.902,4510.2511
"53005010815",31.8605,170.7895,48.1832,122.29,4046.9612,4.4766,95.0453,400.3386,123.4802,13.5801,948.8661,8093.6897
"53005010816",31.3179,101.0966,28.6104,109.9579,4584.8429,8.7913,59.9304,167.0871,80.8856,7.9382,499.1053,4710.0534
"53005010817",27.3828,240.3496,60.9297,107.248,4136.8536,0.8513,37.8597,537.1006,86.0714,6.0978,570.7295,5375.141
"53005010818",16.6756,73.5719,13.7112,29.7788,1930.5325,0,34.5393,219.6708,36.1747,6.0904,323.6529,2737.8719
"53005010819",16.2952,241.9467,27.776,80.8573,2553.0664,5.4305,12.8774,216.5057,58.5948,8.1068,261.6896,2873.2257
"53005010820",32.6449,168.812,58.2889,107.1528,2619.2136,6.2688,28.8681,222.4784,53.7189,15.4814,396.8793,3198.574
"53005010901",77.8001,137.8417,275.9584,203.4682,5231.318,6.3686,121.7559,126.7674,223.9085,22.0591,696.0772,4834.432
"53005010902",57.6383,112.7166,105.4122,192.7815,4681.4295,8.6789,99.2429,142.6836,107.1639,18.254,791.275,4461.3806
"53005011001",52.257,129.5741,151.0926,149.9917,4479.5699,7.1048,80.5758,122.132,193.0827,32.6556,698.4929,4355.0609
"53005011002",45.9835,88.1089,103.4261,133.7173,4104.3792,0,82.1657,125.2529,110.1455,51.1883,588.9285,4080.3191
"53005011100",94.0974,100.9285,119.4148,145.3814,6883.4026,21.6622,129.854,124.0328,146.8166,49.6751,838.3958,6549.2257
"53005011201",60.8898,251.6088,163.624,107.6758,4616.1629,24.7078,95.7779,208.5328,146.5923,76.9175,532.0502,3504.1292
"53005011202",69.5823,34.3033,119.9335,128.6964,2955.2292,20.4473,72.8855,214.4928,211.0853,60.8888,397.1379,2211.5098
"53005011300",80.3525,83.8518,70.6145,130.7826,4683.8403,18.2022,130.3388,125.3942,110.542,22.0892,661.7677,3874.868
"53005011401",58.8149,57.9247,82.6197,124.7939,3468.3532,17.9795,94.0373,94.0919,84.8737,27.7852,525.1711,3491.041
"53005011402",58.2429,57.5481,25.071,119.1762,4747.7237,8.8771,72.587,79.4411,55.3905,15.469,542.9422,4726.1702
"53005011501",112.3807,48.6589,32.4438,143.6036,6381.4236,22.3494,130.6514,45.7115,47.2793,10.1469,640.8952,6096.3157
"53005011504",39.431,42.2564,12.4432,87.1124,2779.6303,14.5426,35.5646,38.4434,43.4328,5.7703,381.8488,2861.94
"53005011505",43.8323,173.7873,44.355,87.0238,3704.4126,5.1079,61.6748,132.9601,72.4723,9.7148,374.2386,3882.9393
"53005011506",73.4572,150.5235,44.141,140.462,4913.2796,2.0676,59.6603,204.9967,72.7293,8.0653,654.4955,5575.0531
"53005011600",23.1476,0,0,11.4314,888.7412,1.7108,9.7742,5.746,6.8063,1.5946,57.248,753.8308
"53005011701",17.0974,16.6042,15.6567,49.185,2134.8648,2.8679,48.1499,32.6271,30.5088,4.6168,260.1664,2214.931
"53005011702",36.9945,129.8028,31.3323,82.45,4555.6842,7.3703,78.5033,165.9297,55.989,16.0409,522.1862,3998.3509
"53005011801",55.1222,27.5776,15.2654,61.8401,3194.7907,0,92.3627,26.6271,35.5971,5.6658,308.7476,2896.9997
"53005011802",45.0946,23.3013,21.9313,22.3149,3073.5342,0.9966,74.0684,26.0058,47.0127,6.4441,359.2535,2681.2154
"53005011900",64.4343,22.1112,20.2574,101.5054,5592.2097,8.2271,129.0635,55.4173,55.9215,20.0252,642.4902,5452.0824
"53005012000",0,1.005,0,2.001,1.995,0,0.0388,0.0169,1.0193,0.0086,7.5339,1.3825
"53007960100",13.3063,2.8594,11.2754,51.4498,2281.5117,5.2354,44.4139,31.6851,6.4444,11.2033,222.4686,2344.7847
"53007960201",29.17,15.6409,8.7296,58.8083,3559.4688,6.6303,34.4025,27.8501,24.3718,1.6822,323.1489,3736.5446
"53007960202",18.6415,10.9966,8.6408,45.7086,1520.5897,0.6598,11.5241,4.7486,3.8223,1.0952,81.1347,1722.6751
"53007960203",10.2166,2.0196,0,12.1077,941.3944,0.7227,10.6141,4.4234,3.5652,0.4204,55.0782,882.8987
"53007960301",31.0128,18.2057,13.8349,17.7849,2160.8876,4.1481,41.7392,23.147,18.41,5.6983,274.2718,2323.7338
"53007960302",26.0471,22.3433,21.2907,46.0154,2447.1465,1.621,43.2907,28.0363,9.9048,6.49,238.1066,2260.1765
"53007960303",33.3357,18.5553,6.0253,42.9859,1481.6288,2.61,13.0358,15.0195,10.2989,0.9088,129.4292,1642.3078
"53007960400",34.7824,22.0537,15.3884,39.2091,3688.5207,12.8616,55.3501,16.5534,13.8244,4.9592,317.7072,3625.6058
"53007960501",9.4906,13.6612,9.9778,63.9882,2624.5147,2.2055,49.1296,20.9681,14.0034,3.5015,289.8648,2560.5325
"53007960502",76.2922,23.2711,12.5507,54.6487,3934.4267,8.5666,51.3296,29.6062,20.2134,15.6735,420.6119,3751.5653
"53007960600",62.6779,28.4798,10.3994,74.3008,3879.0731,8.8269,79.3402,49.6746,19.2478,13.8094,419.5603,3653.3677
"53007960700",28.2677,49.8475,12.9133,71.8384,3284.1946,10.7735,37.849,84.4691,9.521,14.7772,323.5442,3825.8395
"53007960801",8.0826,48.7535,1.8562,23.9444,2576.8267,0.4995,16.2574,49.6092,8.8078,1.8479,126.7793,2744.6985
"53007960803",69.8366,16.9503,8.0782,40.2894,2811.1543,11.5162,59.7757,107.6464,24.5277,6.6062,292.3094,3190.1346
"53007960804",101.795,93.1022,30.6283,112.1656,3885.8668,20.1631,68.8183,58.107,24.756,12.0229,592.9939,3810.3019
"53007961001",65.7432,18.7538,12.5896,86.4558,2834.9899,9.3137,69.4798,27.1408,22.868,3.4239,335.2423,2343.8452
"53007961002",99.1295,50.7011,47.8315,96.9785,3467.6867,9.4237,115.4573,36.7726,44.4234,15.5453,522.0523,3043.749
"53007961101",124.6636,35.0463,31.7882,69.0812,4231.491,10.6647,149.8716,35.4514,22.5715,12.8805,831.6974,3501.5276
"53007961102",110.3865,43.5733,21.3931,99.0432,4811.8113,3.2306,163.4751,96.1106,41.8227,16.9356,703.5671,4859.0889
"53007961200",106.9759,27.1447,14.5097,43.5393,3567.5925,5.2719,90.9495,40.6546,22.8809,7.1944,441.4087,3927.9119
"53007961301",0,11.3338,5.5955,22.1887,1315.8275,2.9744,16.7957,7.4926,10.8009,4.5684,100.419,1254.9234
"53007961303",77.6706,48.9821,14.8454,105.1719,3537.9011,1.2057,86.2721,37.517,27.3265,7.3048,363.0493,3541.5303
"53007961304",46.477,44.7247,20.8582,110.2964,3881.5228,7.875,74.8445,69.3189,13.5945,10.4545,390.6774,3915.1103
"53009000300",379.5199,53.6655,34.4807,199.6418,4024.165,3.5301,504.865,64.623,66.2969,11.7658,569.333,3376.1162
"53009000600",245.0142,26.9189,7.8363,117.9925,2969.1758,3.0623,217.7377,23.3036,6.495,3.0017,262.9903,2937.4718
